OBJECTID,YellowStoneCountyBGs_STATEFP,YellowStoneCountyBGs_COUNTYF_2,id,tractce,geoid,var1,var2,var3,var4,var5,var6,,,area,,totaldrivers,,,,,,,,,
1,30,111,1,1300,14000US30111001300,2605,227,175,62,39,8,,,1.688304017,,2903,,0.897347571,0.078194971,0.060282466,0.021357217,0.013434378,0.00275577,,1.073372373
2,30,111,2,1702,14000US30111001702,2119,192,159,28,8,59,,,1.827566479,,2407,,0.880348982,0.079767345,0.066057333,0.011632738,0.003323639,0.02451184,,1.065641878
3,30,111,3,704,14000US30111000704,1907,143,84,55,0,9,,,5.108560831,,2068,,0.922147002,0.069148936,0.040618956,0.026595745,0,0.004352031,,1.062862669
4,30,111,4,902,14000US30111000902,1778,341,310,35,0,98,,,2.13309579,,2285,,0.778118162,0.149234136,0.135667396,0.015317287,0,0.042888403,,1.121225383
5,30,111,5,200,14000US30111000200,1236,338,212,131,43,128,,,1.508535319,,1779,,0.694772344,0.189994379,0.119168072,0.073636875,0.024170883,0.071950534,,1.173693086
6,30,111,6,702,14000US30111000702,3044,495,431,55,0,25,,,4.373225926,,3584,,0.849330357,0.138113839,0.120256696,0.015345982,0,0.006975446,,1.130022321
7,30,111,7,1801,14000US30111001801,2373,334,282,36,7,0,,,5.933063829,,2792,,0.849928367,0.119627507,0.101002865,0.012893983,0.002507163,0,,1.085959885
8,30,111,8,1802,14000US30111001802,2293,272,227,41,58,85,,,1.456867148,,2787,,0.822748475,0.097595981,0.081449587,0.014711159,0.020810908,0.030498744,,1.067814855
9,30,111,9,701,14000US30111000701,1836,257,208,35,2,51,,,2.578807196,,2146,,0.8555452,0.119757689,0.096924511,0.016309413,0.000931966,0.023765144,,1.113233924
10,30,111,10,901,14000US30111000901,1527,223,216,8,5,90,,,5.177877413,,1888,,0.808792373,0.118114407,0.11440678,0.004237288,0.002648305,0.047669492,,1.095868644
11,30,111,11,1100,14000US30111001100,2435,269,230,45,42,230,,,1.137568467,,3024,,0.805224868,0.088955026,0.076058201,0.014880952,0.013888889,0.076058201,,1.075066138
12,30,111,12,800,14000US30111000800,1996,347,260,63,34,1,,,8.162443369,,2394,,0.833751044,0.144945698,0.108604845,0.026315789,0.014202172,0.000417711,,1.12823726
